xmin,ymin,xmax,ymax
2498072,1113375,2498082,1113387
2498036,1113477,2498046,1113490
2498043,1113990,2498053,1113997
2498082,1114062,2498091,1114072
2498037,1114015,2498046,1114025
2498019,1114139,2498028,1114150
2498092,1114358,2498100,1114368
2498079,1114830,2498088,1114843
2498094,1115563,2498100,1115574
2498013,1115627,2498025,1115640
2498000,1115947,2498018,1115968
2498111,1113439,2498123,1113451
2498165,1114163,2498175,1114173
2498138,1114359,2498146,1114368
2498100,1115562,2498106,1115572
2498111,1115904,2498122,1115917
2498228,1113471,2498243,1113489
2498209,1113461,2498233,1113481
2498200,1113476,2498211,1113491
2498287,1114104,2498300,1114117
2498226,1114137,2498236,1114147
2498262,1114104,2498272,1114116
2498241,1114185,2498252,1114198
2498292,1114115,2498300,1114127
2498200,1114164,2498206,1114174
2498201,1115755,2498211,1115766
2498360,1114320,2498371,1114331
2498376,1114414,2498387,1114426
2498335,1115111,2498349,1115132
2498334,1115728,2498349,1115744
2498493,1113316,2498500,1113329
2498451,1113514,2498466,1113525
2498476,1113959,2498483,1113966
2498442,1114379,2498460,1114395
2498401,1115094,2498427,1115100
2498401,1115100,2498431,1115124
2498451,1115345,2498461,1115358
2498556,1113286,2498574,1113300
2498534,1113290,2498553,1113300
2498532,1113300,2498549,1113309
2498500,1113306,2498523,1113325
2498509,1113707,2498521,1113716
2498565,1113854,2498576,1113861
2498582,1114067,2498599,1114087
2498575,1114755,2498585,1114768
2498662,1113843,2498671,1113857
2498676,1115000,2498700,1115012
2498702,1113200,2498712,1113213
2498769,1114117,2498780,1114129
2498707,1114466,2498717,1114480
2498779,1115544,2498791,1115559
2498806,1113162,2498816,1113177
2498881,1113767,2498893,1113778
2498810,1114600,2498829,1114608
2498890,1115000,2498900,1115019
2498817,1115544,2498825,1115558
2498801,1115638,2498806,1115653
2498824,1115837,2498839,1115850
2498862,1115800,2498875,1115823
2498912,1113258,2498935,1113273
2498913,1113737,2498924,1113752
2498959,1114121,2498979,1114138
2498954,1114965,2498960,1114972
2498939,1114981,2498945,1114989
2499010,1112371,2499036,1112398
2499005,1112659,2499022,1112683
2499074,1113722,2499082,1113731
2499011,1114186,2499035,1114200
2499069,1114333,2499074,1114339
2499000,1114430,2499011,1114452
2499020,1116064,2499032,1116079
2499077,1116376,2499100,1116400
2499076,1116701,2499100,1116726
2499030,1116700,2499049,1116715
2499079,1116879,2499092,1116891
2499088,1116927,2499100,1116950
2499115,1112728,2499136,1112752
2499192,1113553,2499200,1113565
2499105,1114780,2499128,1114800
2499106,1115441,2499131,1115453
2499169,1116640,2499185,1116657
2499182,1116856,2499200,1116870
2499138,1129632,2499151,1129647
2499166,1129960,2499176,1129970
2499176,1129943,2499185,1129952
2499192,1130000,2499200,1130009
2499229,1112007,2499238,1112018
2499279,1113665,2499287,1113673
2499278,1115615,2499285,1115623
2499229,1116505,2499252,1116524
2499200,1116876,2499227,1116900
2499204,1129776,2499229,1129798
2499293,1129827,2499300,1129839
2499205,1129813,2499222,1129833
2499260,1129922,2499270,1129933
2499279,1129972,2499289,1129982
2499233,1129941,2499241,1129951
2499290,1129960,2499300,1129970
2499253,1130058,2499261,1130066
2499341,1113435,2499349,1113443
2499311,1113559,2499321,1113572
2499383,1113519,2499393,1113530
2499390,1113554,2499399,1113564
2499336,1114255,2499352,1114270
2499376,1114214,2499395,1114234
2499300,1114967,2499315,1114988
2499342,1129918,2499355,1129932
2499362,1129901,2499372,1129911
2499349,1130357,2499359,1130370
2499372,1130300,2499380,1130309
2499418,1112200,2499433,1112209
2499486,1112440,2499498,1112457
2499483,1113000,2499491,1113005
2499493,1113105,2499500,1113117
2499415,1113274,2499422,1113284
2499443,1113631,2499453,1113641
2499412,1113615,2499422,1113625
2499475,1113742,2499487,1113753
2499479,1113846,2499489,1113860
2499485,1113800,2499494,1113806
2499465,1113923,2499476,1113934
2499419,1114110,2499426,1114118
2499401,1130107,2499411,1130118
2499466,1130155,2499477,1130164
2499423,1130155,2499434,1130166
2499427,1130263,2499437,1130275
2499489,1130292,2499500,1130300
2499418,1130272,2499426,1130282
2499468,1130381,2499479,1130394
2499434,1130300,2499444,1130310
2499468,1130314,2499477,1130324
2499492,1130364,2499500,1130374
2499418,1130303,2499430,1130316
2499513,1112035,2499522,1112049
2499509,1112481,2499523,1112500
2499500,1113055,2499507,1113064
2499581,1113780,2499591,1113791
2499506,1113717,2499514,1113729
2499514,1113925,2499524,1113938
2499539,1114422,2499554,1114444
